Energy[keV],Count,
17.760,194,
17.770,177,
17.780,180,
17.790,141,
17.800,155,
17.810,145,
17.820,153,
17.830,143,
17.840,134,
17.850,139,
17.860,125,
17.870,115,
17.880,114,
17.890,113,
17.900,133,
17.910,120,
17.920,109,
17.930,139,
17.940,132,
17.950,111,
17.960,106,
17.970,119,
17.980,118,
17.990,129,
18.000,125,
18.010,104,
18.020,102,
18.030,98,
18.040,124,
18.050,117,
18.060,105,
18.070,96,
18.080,106,
18.090,119,
18.100,112,
18.110,109,
18.120,100,
18.130,120,
18.140,81,
18.150,92,
18.160,102,
18.170,90,
18.180,105,
18.190,109,
18.200,90,
18.210,90,
18.220,92,
18.230,74,
18.240,93,
18.250,95,
18.260,93,
18.270,73,
18.280,91,
18.290,116,
18.300,101,
18.310,110,
18.320,95,
18.330,86,
18.340,106,
18.350,103,
18.360,93,
18.370,94,
18.380,108,
18.390,108,
18.400,84,
18.410,80,
18.420,111,
18.430,68,
18.440,86,
18.450,89,
18.460,95,
18.470,105,
18.480,90,
18.490,87,
18.500,99,
18.510,95,
18.520,97,
18.530,73,
18.540,79,
18.550,98,
18.560,94,
18.570,102,
18.580,102,
18.590,90,
18.600,95,
18.610,94,
18.620,85,
18.630,82,
18.640,80,
18.650,86,
18.660,92,
18.670,87,
18.680,101,
18.690,96,
18.700,75,
18.710,70,
18.720,100,
18.730,69,
18.740,82,
18.750,87,
18.760,84,
18.770,97,
18.780,86,
18.790,87,
18.800,92,
18.810,86,
18.820,103,
18.830,75,
18.840,84,
18.850,99,
18.860,91,
18.870,91,
18.880,88,
18.890,98,
18.900,84,
18.910,89,
18.920,88,
18.930,88,
18.940,102,
18.950,88,
18.960,97,
18.970,94,
18.980,87,
18.990,88,
19.000,78,
19.010,89,
19.020,94,
19.030,88,
19.040,90,
19.050,79,
19.060,99,
19.070,85,
19.080,93,
19.090,82,
19.100,88,
19.110,89,
19.120,92,
19.130,80,
19.140,98,
19.150,92,
19.160,89,
19.170,87,
19.180,86,
19.190,89,
19.200,86,
19.210,95,
19.220,89,
19.230,103,
19.240,85,
19.250,80,
19.260,99,
19.270,81,
19.280,97,
19.290,92,
